Nimi,DigiRoad,Lisätietoa,Trimble
Ala-Räävelin yks.tie,Ala-Räävelintie,,to
Ansavaaran yks.tie,Ansavaara,,ke
Antinniemen yks.tie,Antinniemi,,to
Arvilan yks.tie,Arvilantie,,to
Eerolan yks.tie,Eerolantie,,to
Eskonojan yks.tie,Eskonojantie,,ke
Haasia-Ahon yks.tie,Haasia-ahontie,,to
Hanslammin yks.tie,Hanslammintie,,pe
Harjulan yks.tie,Harjulantie,,Ti
Heikkilän yks.tie,Heikkiläntie,,Ti
Heilunmäen yks.tie,Heilumäentie,"Saman tiekunnan alla liittyviä teitä, joilla oma nimi",Ti
Hietanimen yks.tie,Hietaniementie,,to
Hietasen yksityistie,Hietasentie,,Ti
Hirniemen yks.tie,Hirniementie,,to
Immilän yks.tie,Immiläntie,,to
Iso-Rihun yks.tie,,,
Juholan yks.tie,Juholantie,,Ti
Kaijanniemen yks.tie,Kaijanniementie,,to
Kailaan yks.tie,Kailaantie,,pe
Kajaslammin yks.tie,Kajaslammintie,,pe
Kankaan yks.tie,Kankaantie,,Ti
Karikosken yks.tie,Karikoski,,ke
Kelloniemen yks.tie,Kelloniementie,,ke
Keskisen yks.tie,Keskisentie,,To
Ketlahden yks.tie,Ketlahdentie,,to
Kiekkasten yks.tie,Kiekkastentie,,to
Kirkkoportin yks.tie,Kirkkoportti,,to
Kiviojan yks.tie,Kiviojantie,,to
Koivurinteen yks.tie,Koivurinteentie,,ke
Komean yks.tie,Komeantie,,pe
Korpinmaantien yksityistie tiekunta,Korpinmaantie,,pe
Korpinniemen yks.tie,Korpiniementie,,to
Koskionrannan yks.tie,Koskionrannantie,,pe
Kureniemen yks.tie,Kurenniementie,,to
Kutinojan yksityistie,Kutinojantie,,pe
Kuusirannan yks.tie,Kuusirannantie,,ke
Lahtisen yks.tie,Lahtisentie,,ke
Lakeasuon yks.tie,,,
Lamminmäen yks.tie,Lamminmäki,,to
Lampila-Hietal. yks.tie,Lampilantie,,to
Latomäen yks.tie,Latomäentie,,ke
Lehtistenniemen yk.tie,Lehtistenniemi,,to
Leporinteen yks.tie,Leporinne,,pe
Lintapellon yks.tie,,,
Lintumalahden yks.tie,Lintumalahti,,ke
Lintusalmen yks.tie,Lintusalmi,,to
Makkaramäen yks.tie,Makkaramäentie,,to
Malminharjun yks.tie,Malminharjuntie,,to
Matkuksen yks.tie,Matkuksentie,,ke
Metsä-Jokelan yks.tie,Metsä-Jokela,,to
Metsähuoneen yks.tie,Metsähuoneentie,,to
Muikkulahden yks.tie,Muikkulahti,,to
Musterinojan yks.tie,Musterinojantie,,ke
Myllykangas-Haikan yt,,,
Myllyniemen yks.tie,Myllyniementie,,to
Niemen yks.tie,Niementie,Tiehen liittyy pari saman tiekunnan alle kuuluvaa nimeämätöntä tietä,Ti
Niiniahon yks.tie,Niiniahontie,,to
Nuottniemen yks.tie,,,
Ohniemen yks.tie,,Ohinieni olisi,
Oinassillan yks.tie,Oinassillantie,,ke
Paason yks.tie,Paasontie,,Ti
Palajärven yks.tie,Palajärventie,,to
Palpasen yks.tie,,Iso-Palpasen vai Palpasentie,
Patakallion yksityistie,Patakalliontie,,to
Pekonniemen yks.tie,Pekonniemi,,to
Peltolan yks.tie,Peltolantie,,Ti
Piltin yks.tie,Piltintie,,to
Pirtinlahden yks.tie,Pirtinlahdentie,,ke
Pirtjärven yksityistie,Pirtjärventie,,to
Punakallion yks.tie,Punakallio,,pe
Pähkinän yks.tie,Pähkinäntie,,to
Pääsinniemen yks.tie,,,
Rantamäen yks.tie,Rantamäentie,,ke
Riihijärven yks.tie,Riihijärventie,,to
Riivalin yksityistie,Riivalintie,,to
Ristijärven yks.tie,Ristijärventie,Vaihtuu Patakallion tieksi,to
Ronin yks.tie,Roni,,Ti
Ronsillan yks.tie,Ronsilta,,to
Ruokosten yks.tie,Ruokostentie,,to
Rysänperän yks.tie,Rysänperä,,to
Saaren yks.tie,Saarentie,,Ti
Saarijärven yks.tie,Saarijärventie,,Ti
Saittalammen yks.tie,Saittalampi,,pe
Salmen yks.tie,Salmentie,,Ti
Sarven yks.tie,Sarventie,,to
Saukon yks.tie,Saukontie,Konttila ja Vähä-Rihuntie samaa tiekuntaa,ke
Savion yks.tie,Saviontie,,to
Sihvonniemen yksityistie,Sihvonniementie,,to
Sivinlahden yks.tie,Sivinlahdentie,,pe
Sulkavanrannan yks.tie,Sulkavanranta,,to
Suomäen yks.tie,Suomäki,Yhdistin kaksi pätkää,to
Suurijärven yks.tie,Suurijärventie,Läpiäntie samaa tiekuntaa,ke
Talvilahden yks.tie,Talvilahti,,to
Tasajärven yks.tie,Tasajärventie,,to
Telkkävuoron yks.tie,Telkkävuorentie,,pe
Tervatehtaan yks.tie,,,
Uustaipaleen yks.tie,Uustaipale,,ke
Uutelan yks.tie,Uutelantie,,Ti
Vainion yks.tie,Vainiontie,,Ti
Vasikkasaaren yks.tie,Vasikkasaarentie,,pe
Veitsillan yks.tie,Veitsillantie,,ke
Venäläismäen yks.tie,Venäläismäentie,,pe
Vierulankujan yks.tie,Vierulankuja,,pe
Viikinäisten yks.tie,Viikinäistentie,,x
Viilajärven yks.tie,Viilajärventie,,to
Viinakoijan yks.tie,Viinakoijantie,,ke
Viitasaaen-Räsän yks.tie,Viitasaarentie,,ke
Voittolan yks.tie,Voittolantie,,to
Vuolin yksityistie,Vuolintie,,to
Ämmälahden yks.tie,Ämmälahdentie,,pe
