,index,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
0,0,13420000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
1,2,12920000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
2,1,12900000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
3,3,12440000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
4,4,11660000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
5,5,11020000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
6,7,10540000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
7,9,10310000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
8,6,10290000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
9,11,10220000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
10,10,9980000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
11,8,9970000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
12,14,9780000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
13,15,9610000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
14,16,9560000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
15,12,9560000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
16,13,9340000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
17,19,9050000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
18,20,9030000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
19,17,9010000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
20,27,8900000,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
21,18,8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
22,28,8860000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
23,22,8800000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
24,21,8730000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
25,26,8710000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
26,31,8690000,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
27,23,8650000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
28,30,8630000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
29,33,8610000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
30,24,8610000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
31,32,8600000,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
32,25,8560000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
33,29,8440000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
34,38,8370000,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
35,36,8360000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
36,34,8350000,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
37,40,8310000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
38,37,8310000,9000,4,2,4,yes,no,no,no,yes,2,no,furnished
39,35,8210000,7000,3,2,4,yes,no,no,no,yes,2,no,furnished
40,41,8090000,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
41,42,8060000,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
42,43,8060000,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
43,39,7990000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
44,49,7850000,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
45,51,7840000,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished
46,50,7790000,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
47,53,7750000,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
48,48,7730000,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
49,52,7680000,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
50,44,7630000,6000,4,2,4,yes,no,no,no,yes,1,no,furnished
51,47,7600000,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
52,54,7580000,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
53,45,7570000,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
54,46,7550000,6000,3,2,4,yes,no,no,no,yes,1,no,furnished
55,59,7510000,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
56,55,7510000,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished
57,61,7440000,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
58,56,7420000,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
59,63,7320000,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished
60,58,7310000,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
61,57,7260000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
62,60,7240000,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
63,64,7240000,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
64,66,7240000,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
65,65,7200000,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
66,62,7160000,6240,4,2,2,yes,no,no,no,yes,1,no,furnished
67,67,7080000,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
68,69,7070000,12090,4,2,2,yes,no,no,no,no,2,yes,furnished
69,77,7000000,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished
70,78,6980000,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
71,70,6940000,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
72,75,6930000,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
73,79,6900000,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished
74,80,6890000,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
75,84,6880000,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
76,74,6870000,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
77,71,6870000,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished
78,72,6860000,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
79,68,6860000,6000,3,1,1,yes,no,no,no,yes,1,no,furnished
80,73,6820000,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
81,81,6780000,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
82,85,6780000,8250,3,2,3,yes,no,no,no,yes,0,no,furnished
83,90,6770000,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
84,89,6760000,8580,5,3,2,yes,no,no,no,no,2,no,furnished
85,83,6740000,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
86,92,6700000,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
87,76,6680000,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
88,87,6670000,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
89,88,6670000,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
90,95,6670000,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
91,91,6650000,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
92,82,6640000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
93,98,6630000,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
94,93,6610000,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
95,86,6600000,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
96,102,6540000,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
97,101,6490000,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
98,107,6480000,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
99,96,6420000,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
100,99,6410000,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
101,97,6400000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
102,100,6370000,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
103,94,6370000,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished
104,114,6340000,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
105,112,6340000,4300,6,2,2,yes,no,no,no,no,0,no,furnished
106,105,6330000,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished
107,106,6330000,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
108,116,6310000,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
109,104,6300000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
110,124,6300000,6525,3,2,4,yes,no,no,no,no,1,no,furnished
111,118,6290000,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
112,113,6290000,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
113,111,6260000,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished
114,103,6250000,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
115,109,6240000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
116,119,6240000,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
117,110,6190000,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
118,134,6130000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
119,121,6130000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
120,108,6110000,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
121,126,6100000,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
122,132,6090000,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
123,129,6070000,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
124,115,6070000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
125,138,6060000,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
126,130,6060000,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
127,133,6050000,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished
128,127,6050000,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished
129,122,6050000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
130,117,5980000,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
131,125,5980000,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
132,131,5980000,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
133,123,5950000,7320,4,2,2,yes,no,no,no,no,0,no,furnished
134,120,5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
135,128,5930000,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
136,137,5910000,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished
137,145,5870000,5000,3,1,4,yes,no,no,no,no,0,no,furnished
138,140,5860000,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished
139,149,5850000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
140,142,5830000,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
141,151,5830000,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
142,136,5820000,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
143,139,5810000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
144,152,5810000,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
145,154,5790000,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
146,155,5790000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
147,135,5790000,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
148,141,5770000,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
149,148,5760000,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished
150,150,5750000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
151,146,5740000,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
152,157,5710000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
153,156,5680000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
