,date,sales
0,2023-01-01,8764
1,2023-01-02,8559
2,2023-01-03,5558
3,2023-01-04,9312
4,2023-01-05,3450
5,2023-01-06,4327
6,2023-01-07,6972
7,2023-01-08,6179
8,2023-01-09,9864
9,2023-01-10,1856
10,2023-01-11,3130
11,2023-01-12,3405
12,2023-01-13,1759
13,2023-01-14,5586
14,2023-01-15,9415
15,2023-01-16,7345
16,2023-01-17,8856
17,2023-01-18,4462
18,2023-01-19,8169
19,2023-01-20,2902
20,2023-01-21,2150
21,2023-01-22,8974
22,2023-01-23,9552
23,2023-01-24,1331
24,2023-01-25,3494
25,2023-01-26,6770
26,2023-01-27,8807
27,2023-01-28,4915
28,2023-01-29,6927
29,2023-01-30,2096
30,2023-01-31,2006
31,2023-02-01,1838
32,2023-02-02,2156
33,2023-02-03,4382
34,2023-02-04,6358
35,2023-02-05,7937
36,2023-02-06,8578
37,2023-02-07,2998
38,2023-02-08,5528
39,2023-02-09,5761
40,2023-02-10,5432
41,2023-02-11,9035
42,2023-02-12,5581
43,2023-02-13,9402
44,2023-02-14,9346
45,2023-02-15,3664
46,2023-02-16,3560
47,2023-02-17,4536
48,2023-02-18,1826
49,2023-02-19,3321
50,2023-02-20,9129
51,2023-02-21,5316
52,2023-02-22,2053
53,2023-02-23,7834
54,2023-02-24,5713
55,2023-02-25,9806
56,2023-02-26,5687
57,2023-02-27,3469
58,2023-02-28,2467
59,2023-03-01,6598
60,2023-03-02,7659
61,2023-03-03,7753
62,2023-03-04,7791
63,2023-03-05,2917
64,2023-03-06,8701
65,2023-03-07,3020
66,2023-03-08,3575
67,2023-03-09,9491
68,2023-03-10,9103
69,2023-03-11,4390
70,2023-03-12,7568
71,2023-03-13,7804
72,2023-03-14,8990
73,2023-03-15,4002
74,2023-03-16,2016
75,2023-03-17,6337
76,2023-03-18,1519
77,2023-03-19,2265
78,2023-03-20,8511
79,2023-03-21,3349
80,2023-03-22,2243
81,2023-03-23,5206
82,2023-03-24,4409
83,2023-03-25,1553
84,2023-03-26,6819
85,2023-03-27,6098
86,2023-03-28,5883
87,2023-03-29,1197
88,2023-03-30,4548
89,2023-03-31,7158
90,2023-04-01,5576
91,2023-04-02,5984
92,2023-04-03,7959
93,2023-04-04,4763
94,2023-04-05,3334
95,2023-04-06,2812
96,2023-04-07,3481
97,2023-04-08,9825
98,2023-04-09,2166
99,2023-04-10,7807
100,2023-04-11,9449
101,2023-04-12,9943
102,2023-04-13,2206
103,2023-04-14,5412
104,2023-04-15,4882
105,2023-04-16,8737
106,2023-04-17,3121
107,2023-04-18,4339
108,2023-04-19,5389
109,2023-04-20,7444
110,2023-04-21,3712
111,2023-04-22,4632
112,2023-04-23,2744
113,2023-04-24,6773
114,2023-04-25,7955
115,2023-04-26,8263
116,2023-04-27,6928
117,2023-04-28,6413
118,2023-04-29,3510
119,2023-04-30,7119
120,2023-05-01,5060
121,2023-05-02,4707
122,2023-05-03,9685
123,2023-05-04,8642
124,2023-05-05,1518
125,2023-05-06,9463
126,2023-05-07,1556
127,2023-05-08,5333
128,2023-05-09,5186
129,2023-05-10,9925
130,2023-05-11,2485
131,2023-05-12,1258
132,2023-05-13,5932
133,2023-05-14,8561
134,2023-05-15,1945
135,2023-05-16,3418
136,2023-05-17,9180
137,2023-05-18,2956
138,2023-05-19,3767
139,2023-05-20,6072
140,2023-05-21,8881
141,2023-05-22,3665
142,2023-05-23,4047
143,2023-05-24,6447
144,2023-05-25,5808
145,2023-05-26,8532
146,2023-05-27,4536
147,2023-05-28,6884
148,2023-05-29,2964
149,2023-05-30,8511
150,2023-05-31,7008
151,2023-06-01,8897
152,2023-06-02,8481
153,2023-06-03,8534
154,2023-06-04,4482
155,2023-06-05,2061
156,2023-06-06,4926
157,2023-06-07,9545
158,2023-06-08,4481
159,2023-06-09,7934
160,2023-06-10,7521
161,2023-06-11,1771
162,2023-06-12,1067
163,2023-06-13,1083
164,2023-06-14,5473
165,2023-06-15,5341
166,2023-06-16,6477
