,index,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
0,0,13900000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
1,2,12830000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
2,3,12490000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
3,1,12470000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
4,4,11820000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
5,5,10920000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
6,7,10580000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
7,6,10400000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
8,9,10130000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
9,8,10030000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
10,10,9930000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
11,11,9690000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
12,13,9600000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
13,14,9430000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
14,12,9360000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
15,15,9170000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
16,18,9160000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
17,16,9120000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
18,22,9100000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
19,25,9040000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
20,23,9040000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
21,17,9010000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
22,19,8980000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
23,24,8910000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
24,26,8900000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
25,20,8880000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
26,28,8870000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
27,30,8820000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
28,31,8690000,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
29,21,8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
30,32,8560000,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
31,27,8430000,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
32,29,8420000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
33,40,8350000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
34,34,8330000,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
35,33,8270000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
36,38,8240000,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
37,35,8230000,7000,3,2,4,yes,no,no,no,yes,2,no,furnished
38,41,8140000,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
39,43,8110000,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
40,36,8050000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
41,37,8040000,9000,4,2,4,yes,no,no,no,yes,2,no,furnished
42,42,8020000,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
43,39,7990000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
44,44,7860000,6000,4,2,4,yes,no,no,no,yes,1,no,furnished
45,46,7860000,6000,3,2,4,yes,no,no,no,yes,1,no,furnished
46,47,7780000,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
47,45,7730000,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
48,55,7720000,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished
49,53,7670000,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
