,date,sales
0,2023-01-01,8220
1,2023-01-02,2914
2,2023-01-03,1122
3,2023-01-04,2485
4,2023-01-05,1572
5,2023-01-06,2375
6,2023-01-07,2612
7,2023-01-08,6810
8,2023-01-09,4879
9,2023-01-10,1285
10,2023-01-11,1504
11,2023-01-12,1259
12,2023-01-13,6670
13,2023-01-14,8933
14,2023-01-15,8594
15,2023-01-16,3433
16,2023-01-17,2495
17,2023-01-18,3999
18,2023-01-19,2874
19,2023-01-20,1239
20,2023-01-21,9242
21,2023-01-22,8974
22,2023-01-23,5093
23,2023-01-24,2057
24,2023-01-25,9865
25,2023-01-26,8633
26,2023-01-27,2123
27,2023-01-28,2457
28,2023-01-29,9438
29,2023-01-30,1753
30,2023-01-31,5416
31,2023-02-01,2033
32,2023-02-02,5954
33,2023-02-03,8881
34,2023-02-04,6820
35,2023-02-05,5365
36,2023-02-06,5082
37,2023-02-07,4277
38,2023-02-08,8428
39,2023-02-09,9686
40,2023-02-10,1316
41,2023-02-11,9324
42,2023-02-12,2156
43,2023-02-13,1094
44,2023-02-14,6464
45,2023-02-15,3355
46,2023-02-16,8746
47,2023-02-17,7182
48,2023-02-18,3737
49,2023-02-19,1887
50,2023-02-20,2249
51,2023-02-21,9135
52,2023-02-22,3687
53,2023-02-23,2234
54,2023-02-24,4524
55,2023-02-25,3363
56,2023-02-26,1444
57,2023-02-27,6672
58,2023-02-28,2816
59,2023-03-01,9678
60,2023-03-02,3313
61,2023-03-03,6003
62,2023-03-04,8440
63,2023-03-05,1648
64,2023-03-06,7819
65,2023-03-07,5534
66,2023-03-08,1658
67,2023-03-09,3905
68,2023-03-10,5451
69,2023-03-11,3532
70,2023-03-12,5919
71,2023-03-13,3532
72,2023-03-14,8610
73,2023-03-15,1672
74,2023-03-16,7327
75,2023-03-17,6727
76,2023-03-18,9124
77,2023-03-19,6598
78,2023-03-20,8669
79,2023-03-21,8797
80,2023-03-22,1742
81,2023-03-23,8714
82,2023-03-24,3784
83,2023-03-25,8202
84,2023-03-26,9506
85,2023-03-27,8174
86,2023-03-28,5844
87,2023-03-29,5506
88,2023-03-30,3029
89,2023-03-31,4041
90,2023-04-01,7821
91,2023-04-02,8144
92,2023-04-03,2957
93,2023-04-04,9680
94,2023-04-05,2689
95,2023-04-06,8949
96,2023-04-07,7173
97,2023-04-08,5185
98,2023-04-09,4136
99,2023-04-10,6658
100,2023-04-11,2772
101,2023-04-12,3575
102,2023-04-13,5412
103,2023-04-14,3537
104,2023-04-15,6300
105,2023-04-16,8318
106,2023-04-17,2159
107,2023-04-18,2286
108,2023-04-19,7475
109,2023-04-20,4508
110,2023-04-21,1782
111,2023-04-22,5688
112,2023-04-23,1622
113,2023-04-24,4594
114,2023-04-25,9302
115,2023-04-26,2436
116,2023-04-27,6193
117,2023-04-28,6007
118,2023-04-29,8550
119,2023-04-30,2085
120,2023-05-01,5217
121,2023-05-02,2196
122,2023-05-03,7984
123,2023-05-04,4307
124,2023-05-05,2659
125,2023-05-06,7498
126,2023-05-07,4188
127,2023-05-08,8529
128,2023-05-09,9200
129,2023-05-10,4871
130,2023-05-11,6918
131,2023-05-12,4360
132,2023-05-13,9438
133,2023-05-14,7900
134,2023-05-15,3862
135,2023-05-16,4330
136,2023-05-17,5944
137,2023-05-18,1988
138,2023-05-19,6775
139,2023-05-20,9754
140,2023-05-21,3507
141,2023-05-22,9185
142,2023-05-23,9995
143,2023-05-24,8740
144,2023-05-25,6468
145,2023-05-26,3272
146,2023-05-27,3145
147,2023-05-28,1787
148,2023-05-29,3704
149,2023-05-30,3374
150,2023-05-31,9946
151,2023-06-01,2142
152,2023-06-02,6329
153,2023-06-03,3802
154,2023-06-04,1027
155,2023-06-05,1996
156,2023-06-06,2435
157,2023-06-07,3429
158,2023-06-08,4555
159,2023-06-09,1653
160,2023-06-10,8090
161,2023-06-11,7413
162,2023-06-12,6315
163,2023-06-13,4393
164,2023-06-14,7245
165,2023-06-15,5588
166,2023-06-16,9806
167,2023-06-17,5989
168,2023-06-18,7914
169,2023-06-19,6225
170,2023-06-20,3480
171,2023-06-21,9726
172,2023-06-22,2521
173,2023-06-23,5265
174,2023-06-24,5555
175,2023-06-25,7721
176,2023-06-26,7554
177,2023-06-27,5534
178,2023-06-28,9614
179,2023-06-29,2863
180,2023-06-30,7149
181,2023-07-01,5492
182,2023-07-02,4504
183,2023-07-03,5873
184,2023-07-04,7526
185,2023-07-05,1860
186,2023-07-06,6726
187,2023-07-07,8218
188,2023-07-08,4809
189,2023-07-09,9036
190,2023-07-10,3708
191,2023-07-11,7234
192,2023-07-12,6044
193,2023-07-13,1040
194,2023-07-14,2201
195,2023-07-15,8867
196,2023-07-16,7471
197,2023-07-17,5889
198,2023-07-18,8027
199,2023-07-19,8857
200,2023-07-20,4040
201,2023-07-21,7561
202,2023-07-22,8830
203,2023-07-23,3575
204,2023-07-24,5608
205,2023-07-25,7054
206,2023-07-26,6676
207,2023-07-27,4376
208,2023-07-28,3768
209,2023-07-29,9501
210,2023-07-30,8494
211,2023-07-31,8773
212,2023-08-01,1463
213,2023-08-02,8665
214,2023-08-03,2699
215,2023-08-04,1440
216,2023-08-05,7006
217,2023-08-06,8795
218,2023-08-07,2068
219,2023-08-08,3294
220,2023-08-09,6435
221,2023-08-10,6716
222,2023-08-11,5745
223,2023-08-12,5892
224,2023-08-13,6416
225,2023-08-14,5813
226,2023-08-15,4187
227,2023-08-16,9342
228,2023-08-17,5571
229,2023-08-18,2187
230,2023-08-19,9749
231,2023-08-20,4342
232,2023-08-21,6564
233,2023-08-22,9360
234,2023-08-23,6476
235,2023-08-24,6260
236,2023-08-25,8504
237,2023-08-26,5382
238,2023-08-27,2391
239,2023-08-28,9638
240,2023-08-29,9982
241,2023-08-30,2959
242,2023-08-31,5018
243,2023-09-01,5213
244,2023-09-02,7092
245,2023-09-03,3245
246,2023-09-04,1464
247,2023-09-05,7464
248,2023-09-06,1612
249,2023-09-07,1722
250,2023-09-08,4419
251,2023-09-09,3536
252,2023-09-10,6128
253,2023-09-11,9448
254,2023-09-12,6823
255,2023-09-13,8119
256,2023-09-14,9442
257,2023-09-15,2130
258,2023-09-16,5999
259,2023-09-17,5283
260,2023-09-18,8955
261,2023-09-19,4597
262,2023-09-20,6697
263,2023-09-21,9263
264,2023-09-22,2357
265,2023-09-23,1297
266,2023-09-24,6424
267,2023-09-25,4761
268,2023-09-26,3662
269,2023-09-27,8831
270,2023-09-28,9182
271,2023-09-29,3292
272,2023-09-30,9721
273,2023-10-01,2117
274,2023-10-02,3384
275,2023-10-03,9706
276,2023-10-04,4985
277,2023-10-05,3691
278,2023-10-06,9297
279,2023-10-07,9273
280,2023-10-08,7441
281,2023-10-09,6349
282,2023-10-10,3112
283,2023-10-11,9766
284,2023-10-12,8312
285,2023-10-13,1669
286,2023-10-14,7089
287,2023-10-15,2125
288,2023-10-16,7047
289,2023-10-17,7691
290,2023-10-18,1731
291,2023-10-19,2161
292,2023-10-20,6147
293,2023-10-21,4734
294,2023-10-22,4247
295,2023-10-23,6671
296,2023-10-24,9540
297,2023-10-25,7222
298,2023-10-26,9073
299,2023-10-27,1859
300,2023-10-28,1488
301,2023-10-29,8341
302,2023-10-30,2313
303,2023-10-31,5803
304,2023-11-01,7986
305,2023-11-02,6575
306,2023-11-03,3423
307,2023-11-04,8965
308,2023-11-05,4965
309,2023-11-06,1488
310,2023-11-07,6842
