,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2019-03-26T00:00:00.000Z,34.9,37.99,34.0,37.99,35281,34.9,37.99,34.0,37.99,35281,0.0,1.0
1,2019-03-27T00:00:00.000Z,17.0,33.5,14.2,33.5,1143598,17.0,33.5,14.2,33.5,1143598,0.0,1.0
2,2019-03-28T00:00:00.000Z,14.51,18.5,14.48,18.5,332093,14.51,18.5,14.48,18.5,332093,0.0,1.0
3,2019-03-29T00:00:00.000Z,13.69,14.51,11.9,14.0,574120,13.69,14.51,11.9,14.0,574120,0.0,1.0
4,2019-04-01T00:00:00.000Z,12.47,14.89,12.35,14.08,339847,12.47,14.89,12.35,14.08,339847,0.0,1.0
5,2019-04-02T00:00:00.000Z,14.01,14.74,12.89,12.89,264170,14.01,14.74,12.89,12.89,264170,0.0,1.0
6,2019-04-03T00:00:00.000Z,5.52,15.95,5.27,14.47,2911058,5.52,15.95,5.27,14.47,2911058,0.0,1.0
7,2019-04-04T00:00:00.000Z,6.02,6.44,5.0,5.79,1380497,6.02,6.44,5.0,5.79,1380497,0.0,1.0
8,2019-04-05T00:00:00.000Z,5.75,6.05,5.45,5.75,987181,5.75,6.05,5.45,5.75,987181,0.0,1.0
9,2019-04-08T00:00:00.000Z,5.27,5.75,5.25,5.75,423497,5.27,5.75,5.25,5.75,423497,0.0,1.0
10,2019-04-09T00:00:00.000Z,5.4,5.82,5.21,5.49,631404,5.4,5.82,5.21,5.49,631404,0.0,1.0
11,2019-04-10T00:00:00.000Z,5.22,5.589,5.12,5.56,261848,5.22,5.589,5.12,5.56,261848,0.0,1.0
12,2019-04-11T00:00:00.000Z,8.88,9.26,5.3,5.42,6269793,8.88,9.26,5.3,5.42,6269793,0.0,1.0
13,2019-04-12T00:00:00.000Z,8.19,11.2,7.7,9.34,5313384,8.19,11.2,7.7,9.34,5313384,0.0,1.0
14,2019-04-15T00:00:00.000Z,9.13,9.7,8.56,9.51,2219355,9.13,9.7,8.56,9.51,2219355,0.0,1.0
15,2019-04-16T00:00:00.000Z,7.75,9.34,7.4,9.34,911491,7.75,9.34,7.4,9.34,911491,0.0,1.0
16,2019-04-17T00:00:00.000Z,6.98,7.94,6.39,7.75,599113,6.98,7.94,6.39,7.75,599113,0.0,1.0
17,2019-04-18T00:00:00.000Z,7.45,8.13,6.55,6.92,706812,7.45,8.13,6.55,6.92,706812,0.0,1.0
18,2019-04-22T00:00:00.000Z,7.51,7.78,7.16,7.45,171737,7.51,7.78,7.16,7.45,171737,0.0,1.0
19,2019-04-23T00:00:00.000Z,7.2,7.71,7.0,7.6,192710,7.2,7.71,7.0,7.6,192710,0.0,1.0
20,2019-04-24T00:00:00.000Z,7.68,9.1,7.05,7.3,1076198,7.68,9.1,7.05,7.3,1076198,0.0,1.0
21,2019-04-25T00:00:00.000Z,8.08,8.49,7.71,7.82,676493,8.08,8.49,7.71,7.82,676493,0.0,1.0
22,2019-04-26T00:00:00.000Z,7.88,8.3,7.55,8.3,235990,7.88,8.3,7.55,8.3,235990,0.0,1.0
23,2019-04-29T00:00:00.000Z,8.3,8.636,7.7,7.88,564180,8.3,8.636,7.7,7.88,564180,0.0,1.0
24,2019-04-30T00:00:00.000Z,8.1,8.463,7.88,8.3,204889,8.1,8.463,7.88,8.3,204889,0.0,1.0
25,2019-05-01T00:00:00.000Z,8.43,8.83,8.22,8.81,984131,8.43,8.83,8.22,8.81,984131,0.0,1.0
26,2019-05-02T00:00:00.000Z,8.18,8.4,7.9,8.35,243398,8.18,8.4,7.9,8.35,243398,0.0,1.0
27,2019-05-03T00:00:00.000Z,8.29,8.5,7.98,8.23,268057,8.29,8.5,7.98,8.23,268057,0.0,1.0
28,2019-05-06T00:00:00.000Z,7.65,8.188,7.65,7.82,251311,7.65,8.188,7.65,7.82,251311,0.0,1.0
29,2019-05-07T00:00:00.000Z,7.58,8.0,7.55,7.83,154729,7.58,8.0,7.55,7.83,154729,0.0,1.0
