id	tiekunta_id	vuosi	avustus
1	3	2002	120
2	3	2003	80
3	3	2004	80
4	3	2005	80
5	3	2006	40
6	3	2007	30
7	3	2008	30
8	5	2002	670
9	5	2003	570
10	5	2004	740
11	5	2005	740
12	5	2006	550
13	5	2007	560
14	5	2008	610
15	5	2009	590
16	5	2010	510
17	5	2011	510
18	5	2012	510
19	5	2013	510
20	5	2014	710
21	5	2015	820
22	5	2016	850
23	5	2017	1010
24	5	2018	1010
25	6	2002	250
26	6	2003	200
27	6	2004	260
28	6	2005	260
29	6	2006	200
30	6	2007	160
31	6	2008	170
32	6	2009	170
33	6	2010	140
34	6	2011	140
35	6	2012	140
36	6	2013	140
37	6	2014	200
38	6	2015	230
39	6	2016	240
40	6	2017	300
41	6	2018	300
42	7	2002	120
43	7	2003	100
44	7	2004	130
45	7	2005	100
46	7	2006	70
47	7	2007	80
48	7	2008	100
49	7	2009	150
50	7	2010	110
51	7	2011	110
52	7	2012	110
53	7	2013	110
54	7	2014	160
55	7	2015	180
56	7	2016	190
57	7	2017	240
58	7	2018	240
59	8	2002	120
60	8	2003	100
61	8	2004	130
62	8	2005	160
63	8	2006	130
64	8	2007	50
65	8	2008	70
66	8	2009	80
67	8	2010	70
68	8	2011	80
69	8	2012	80
70	8	2013	80
71	8	2014	120
72	8	2015	140
73	8	2016	180
74	8	2017	230
75	8	2018	230
76	9	2002	200
77	9	2003	140
78	9	2004	180
79	9	2005	180
80	9	2006	80
81	9	2007	100
82	9	2008	110
83	9	2009	100
84	9	2010	80
85	9	2011	90
86	9	2012	90
87	9	2013	90
88	9	2014	130
89	9	2015	150
90	9	2016	150
91	9	2017	190
92	9	2018	190
93	11	2002	170
94	11	2003	120
95	11	2004	160
96	11	2005	160
97	11	2006	120
98	11	2007	140
99	11	2008	150
100	11	2009	170
101	11	2010	140
102	11	2011	140
103	11	2012	140
104	11	2013	140
105	11	2014	510
106	11	2015	590
107	11	2016	610
108	11	2017	740
109	11	2018	650
110	12	2005	260
111	12	2006	160
112	12	2007	190
113	12	2008	190
114	12	2009	220
115	12	2010	170
116	12	2011	170
117	12	2012	170
118	12	2013	170
119	12	2014	240
120	12	2015	280
121	12	2016	290
122	12	2017	360
123	12	2018	360
124	13	2002	240
125	13	2003	230
126	13	2004	300
127	13	2005	300
128	13	2006	220
129	13	2007	260
130	13	2008	270
131	15	2002	130
132	15	2003	120
133	15	2004	160
134	15	2013	190
135	16	2002	370
136	16	2003	260
137	16	2004	340
138	16	2005	260
139	16	2006	150
140	16	2007	160
141	16	2008	160
142	16	2009	130
143	16	2010	110
144	16	2011	130
145	16	2012	130
146	16	2014	170
147	16	2015	200
148	16	2016	210
149	16	2017	260
150	16	2018	260
151	17	2002	440
152	17	2003	360
153	17	2004	470
154	17	2005	470
155	17	2006	370
156	17	2007	440
157	17	2009	450
158	17	2010	390
159	17	2011	390
160	17	2012	390
161	17	2013	390
162	17	2014	490
163	17	2015	560
164	17	2016	580
165	17	2017	580
166	18	2002	200
167	18	2003	140
168	18	2004	180
169	18	2005	180
170	18	2006	130
171	18	2007	160
172	18	2008	170
173	18	2009	170
174	18	2010	140
175	18	2011	160
176	18	2012	160
177	18	2013	160
178	18	2014	230
179	18	2015	260
180	18	2016	270
181	18	2018	160
182	19	2002	1610
183	19	2003	1420
184	19	2004	1850
185	19	2005	1850
186	19	2006	1400
187	19	2007	1480
188	19	2008	1490
189	19	2009	1520
190	19	2010	1380
191	19	2011	1380
192	19	2012	1380
193	19	2013	1380
194	19	2014	1900
195	19	2015	2170
196	19	2016	2340
197	19	2017	2340
198	19	2018	2000
199	23	2002	520
200	23	2003	470
201	23	2004	610
202	23	2005	610
203	23	2006	370
204	23	2007	400
205	23	2008	410
206	23	2009	420
207	23	2010	360
208	23	2011	360
209	23	2012	360
210	23	2013	360
211	23	2014	510
212	23	2015	590
213	23	2016	610
214	23	2017	740
215	23	2018	740
216	24	2002	30
217	24	2003	30
218	24	2004	30
219	25	2002	540
220	25	2003	510
221	25	2004	660
222	25	2005	660
223	25	2006	500
224	25	2007	500
225	25	2008	510
226	25	2009	510
227	25	2010	440
228	25	2011	440
229	25	2012	440
230	25	2013	440
231	25	2014	610
232	25	2015	700
233	25	2016	620
234	25	2017	750
235	25	2018	750
236	34	2002	70
237	34	2003	50
238	34	2004	70
239	34	2005	70
240	34	2006	40
241	34	2007	50
242	34	2008	50
243	34	2010	50
244	34	2011	50
245	34	2012	50
246	34	2013	50
247	34	2014	80
248	34	2015	90
249	34	2016	90
250	34	2017	120
251	34	2018	120
252	35	2002	620
253	35	2003	500
254	35	2004	650
255	35	2005	650
256	35	2006	400
257	35	2007	430
258	35	2008	430
259	35	2009	430
260	35	2010	370
261	35	2011	370
262	35	2013	370
263	35	2014	520
264	35	2015	600
265	35	2016	620
266	36	2002	500
267	36	2003	410
268	36	2004	530
269	36	2005	530
270	36	2006	370
271	36	2007	440
272	36	2008	470
273	36	2009	450
274	36	2010	390
275	36	2011	390
276	36	2012	390
277	36	2013	390
278	36	2014	550
279	36	2015	630
280	36	2016	650
281	36	2017	790
282	36	2018	530
283	39	2002	470
284	39	2003	330
285	39	2004	430
286	39	2005	430
287	39	2006	290
288	39	2007	350
289	39	2008	360
290	39	2009	360
291	39	2010	310
292	39	2011	310
293	39	2012	310
294	39	2013	310
295	39	2014	440
296	39	2015	510
297	39	2016	530
298	39	2017	650
299	39	2018	420
300	40	2010	170
301	40	2011	170
302	40	2012	170
303	40	2013	170
304	40	2014	240
305	40	2015	280
306	40	2016	260
307	40	2017	320
308	40	2018	320
309	44	2002	710
310	44	2003	580
311	44	2004	750
312	44	2005	750
313	44	2006	590
314	44	2007	610
315	44	2008	640
316	44	2009	640
317	44	2010	570
318	44	2011	570
319	44	2012	570
320	44	2013	570
321	44	2014	800
322	44	2015	910
323	44	2016	940
324	44	2017	1120
325	44	2018	1020
326	46	2002	50
327	46	2003	40
328	46	2004	100
329	46	2005	50
330	46	2006	40
331	46	2007	50
332	46	2009	70
333	46	2010	60
334	46	2011	60
335	47	2002	440
336	47	2003	310
337	47	2004	400
338	47	2005	400
339	47	2006	310
340	47	2007	370
341	47	2008	380
342	47	2009	380
343	47	2010	330
344	47	2011	330
345	47	2012	330
346	47	2013	380
347	47	2014	530
348	47	2015	600
349	47	2016	620
350	47	2017	760
351	47	2018	370
352	48	2002	400
353	48	2003	280
354	48	2004	360
355	48	2005	360
356	48	2006	250
357	48	2007	300
358	48	2009	300
359	48	2010	260
360	48	2011	260
361	48	2012	260
362	48	2013	260
363	48	2014	370
364	48	2015	430
365	48	2016	450
366	48	2017	550
367	48	2018	550
368	50	2002	440
369	50	2003	310
370	50	2004	400
371	50	2005	400
372	50	2006	240
373	50	2007	290
374	50	2008	300
375	50	2009	300
376	50	2010	260
377	50	2011	260
378	50	2012	260
379	50	2013	260
380	50	2014	370
381	50	2015	430
382	50	2016	450
383	50	2017	550
384	50	2018	550
385	51	2002	640
386	51	2003	520
387	51	2004	680
388	51	2005	680
389	51	2006	470
390	51	2007	500
391	51	2008	510
392	51	2009	510
393	51	2010	440
394	51	2011	440
395	51	2012	440
396	51	2013	440
397	51	2014	610
398	51	2015	700
399	51	2016	720
400	51	2017	880
401	51	2018	880
402	52	2002	50
403	52	2003	40
404	52	2004	50
405	52	2005	50
406	52	2006	40
407	52	2007	50
408	52	2008	70
409	52	2009	60
410	52	2010	50
411	52	2011	50
412	52	2012	50
413	52	2013	50
414	52	2014	80
415	52	2015	90
416	52	2016	90
417	52	2017	120
418	52	2018	120
419	53	2002	440
420	53	2003	310
421	53	2004	400
422	53	2005	400
423	53	2006	310
424	53	2007	370
425	53	2008	400
426	53	2009	450
427	53	2010	390
428	53	2011	390
429	53	2012	390
430	53	2013	390
431	53	2014	550
432	53	2015	630
433	53	2016	650
434	53	2017	790
435	53	2018	790
436	56	2002	1850
437	56	2003	1510
438	56	2004	1960
439	56	2005	1960
440	56	2006	1560
441	56	2007	1600
442	56	2008	1610
443	56	2009	1610
444	56	2010	1450
445	56	2011	1450
446	56	2012	1450
447	56	2013	1450
448	56	2014	2000
449	56	2015	2290
450	56	2016	720
451	56	2017	1000
452	56	2018	900
453	57	2002	70
454	57	2003	50
455	57	2004	70
456	57	2005	70
457	57	2006	40
458	57	2007	50
459	57	2008	60
460	57	2009	80
461	57	2010	60
462	57	2012	70
463	57	2013	70
464	57	2014	110
465	57	2015	130
466	57	2016	130
467	57	2017	170
468	57	2018	170
469	59	2002	520
470	59	2003	400
471	59	2004	450
472	59	2005	450
473	59	2006	340
474	59	2007	300
475	59	2008	310
476	59	2009	310
477	59	2010	270
478	59	2011	270
479	59	2012	270
480	59	2013	270
481	59	2014	380
482	59	2015	380
483	59	2016	390
484	59	2017	470
485	59	2018	470
486	61	2002	220
487	61	2003	150
488	61	2004	150
489	61	2005	150
490	61	2006	110
491	61	2007	130
492	61	2008	140
493	61	2009	180
494	61	2010	150
495	61	2011	150
496	61	2012	150
497	61	2013	150
498	61	2014	220
499	61	2015	250
500	61	2016	260
501	61	2017	320
502	61	2018	320
503	62	2002	450
504	62	2003	400
505	62	2004	520
506	62	2005	520
507	62	2006	320
508	62	2007	230
509	62	2008	230
510	63	2002	670
511	63	2003	530
512	63	2004	690
513	63	2005	740
514	63	2006	430
515	63	2007	330
516	63	2009	300
517	63	2010	260
518	63	2011	260
519	63	2012	260
520	63	2013	260
521	63	2014	370
522	63	2015	370
523	63	2016	380
524	63	2017	460
525	63	2018	460
526	64	2006	130
527	64	2007	160
528	64	2008	190
529	64	2009	230
530	64	2010	200
531	64	2011	200
532	64	2012	200
533	64	2013	200
534	66	2002	930
535	66	2003	700
536	66	2004	910
537	66	2005	910
538	66	2006	590
539	66	2007	610
540	66	2008	620
541	66	2009	610
542	66	2010	520
543	66	2011	520
544	66	2012	520
545	66	2013	520
546	66	2014	730
547	66	2015	840
548	66	2016	870
549	66	2017	1030
550	66	2018	1030
551	68	2002	120
552	68	2003	90
553	68	2004	120
554	68	2005	70
555	68	2006	50
556	68	2007	60
557	68	2008	70
558	68	2009	70
559	68	2010	70
560	68	2011	70
561	68	2012	70
562	68	2013	70
563	68	2014	110
564	68	2015	130
565	68	2016	130
566	68	2017	170
567	69	2017	220
568	69	2018	340
569	73	2002	660
570	73	2003	520
571	73	2004	680
572	73	2005	680
573	73	2006	370
574	73	2007	360
575	73	2008	370
576	73	2009	390
577	73	2010	340
578	73	2011	340
579	73	2012	340
580	73	2013	340
581	73	2014	510
582	73	2015	590
583	73	2016	610
584	73	2017	740
585	73	2018	740
586	75	2006	100
587	75	2007	120
588	75	2009	150
589	75	2011	150
590	75	2012	150
591	77	2002	610
592	77	2003	510
593	77	2004	660
594	77	2005	660
595	77	2006	520
596	77	2007	620
597	77	2008	650
598	77	2009	650
599	77	2010	560
600	77	2011	560
601	77	2012	560
602	77	2013	560
603	78	2002	400
604	78	2003	330
605	78	2004	430
606	78	2005	450
607	78	2006	290
608	78	2007	350
609	78	2008	370
610	78	2009	470
611	78	2010	410
612	78	2011	410
613	78	2012	410
614	78	2013	410
615	78	2014	580
616	78	2015	670
617	78	2016	580
618	78	2017	710
619	78	2018	710
620	80	2002	1010
621	80	2003	890
622	80	2004	1160
623	80	2005	1160
624	80	2006	900
625	80	2007	810
626	80	2008	810
627	80	2009	830
628	80	2010	740
629	80	2011	740
630	80	2012	740
631	80	2013	500
632	80	2014	700
633	80	2015	800
634	80	2016	830
635	80	2017	1000
636	80	2018	1000
637	83	2002	440
638	83	2003	390
639	83	2004	510
640	83	2005	510
641	83	2006	400
642	83	2007	480
643	83	2008	500
644	83	2009	570
645	83	2010	490
646	83	2011	490
647	83	2012	490
648	83	2013	490
649	83	2014	680
650	83	2015	780
651	83	2016	810
652	83	2017	990
653	83	2018	990
654	85	2003	50
655	85	2004	50
656	85	2005	50
657	85	2006	40
658	85	2007	50
659	85	2008	60
660	85	2009	80
661	85	2010	70
662	85	2011	70
663	85	2012	70
664	85	2013	70
665	85	2014	120
666	85	2015	140
667	85	2016	110
668	85	2017	140
669	85	2018	140
670	86	2002	240
671	86	2003	220
672	86	2004	290
673	86	2005	290
674	86	2006	220
675	86	2007	260
676	86	2008	280
677	86	2009	280
678	86	2010	240
679	86	2011	240
680	86	2012	240
681	86	2013	240
682	86	2014	340
683	86	2015	390
684	86	2016	400
685	86	2017	490
686	86	2018	570
687	89	2005	200
688	89	2006	150
689	89	2007	180
690	89	2008	190
691	89	2010	150
692	89	2011	150
693	89	2012	150
694	89	2013	150
695	89	2014	220
696	89	2015	250
697	89	2016	230
698	89	2017	290
699	89	2018	290
700	90	2002	120
701	90	2003	80
702	90	2004	100
703	90	2005	80
704	90	2006	60
705	90	2007	70
706	90	2008	80
707	90	2009	110
708	90	2010	90
709	90	2011	90
710	90	2012	90
711	90	2013	90
712	91	2002	720
713	91	2003	580
714	91	2004	750
715	91	2005	750
716	91	2006	590
717	91	2007	600
718	91	2008	610
719	91	2009	600
720	91	2010	520
721	91	2011	520
722	91	2012	520
723	91	2013	520
724	91	2014	720
725	91	2015	830
726	91	2016	860
727	91	2018	440
728	93	2002	400
729	93	2003	330
730	93	2004	430
731	93	2005	430
732	93	2006	350
733	93	2007	420
734	93	2008	470
735	93	2009	530
736	93	2010	460
737	93	2011	460
738	93	2012	460
739	93	2013	460
740	93	2014	600
741	93	2015	690
742	93	2016	610
743	93	2017	610
744	93	2018	390
745	95	2002	370
746	95	2003	320
747	95	2004	420
748	95	2005	350
749	95	2006	270
750	95	2007	320
751	95	2008	350
752	95	2009	380
753	95	2010	330
754	95	2011	330
755	95	2012	330
756	95	2013	330
757	95	2014	470
758	95	2015	540
759	95	2016	560
760	95	2017	680
761	95	2018	680
762	97	2010	180
763	97	2011	180
764	97	2015	290
765	97	2016	300
766	97	2017	370
767	97	2018	370
768	98	2002	150
769	98	2003	110
770	98	2004	140
771	98	2005	140
772	98	2006	100
773	98	2007	120
774	98	2008	130
775	98	2009	150
776	98	2010	110
777	101	2002	30
778	101	2003	30
779	101	2004	50
780	101	2005	50
781	101	2006	40
782	101	2007	40
783	101	2008	50
784	101	2009	50
785	101	2010	50
786	101	2011	50
787	101	2012	50
788	101	2013	50
789	101	2014	80
790	101	2015	90
791	101	2016	90
792	101	2017	120
793	101	2018	120
794	103	2002	420
795	103	2003	400
796	103	2004	520
797	103	2005	520
798	103	2006	400
799	103	2007	320
800	103	2008	330
801	103	2009	330
802	103	2010	280
803	103	2011	280
804	103	2013	280
805	103	2014	390
806	103	2015	450
807	103	2016	670
808	103	2017	820
809	103	2018	820
810	104	2002	1180
811	104	2003	1100
812	104	2004	1270
813	104	2005	1370
814	104	2006	1000
815	104	2007	830
816	104	2008	930
817	104	2009	930
818	104	2010	800
819	104	2011	800
820	104	2012	800
821	104	2013	800
822	104	2014	1100
823	104	2015	1250
824	104	2016	1290
825	104	2017	1550
826	104	2018	1350
827	107	2002	220
828	107	2003	200
829	107	2004	260
830	107	2005	160
831	107	2006	90
832	107	2007	110
833	107	2008	120
834	107	2009	150
835	107	2010	120
836	107	2011	120
837	107	2012	120
838	107	2013	120
839	107	2014	180
840	107	2015	210
841	107	2016	220
842	107	2017	270
843	107	2018	270
844	108	2002	570
845	108	2003	410
846	108	2004	530
847	108	2005	530
848	108	2006	410
849	108	2007	490
850	108	2008	500
851	108	2009	550
852	108	2010	470
853	108	2011	470
854	108	2012	470
855	108	2013	470
856	108	2014	650
857	108	2015	750
858	108	2016	780
859	108	2017	950
860	108	2018	950
861	109	2002	100
862	109	2003	80
863	109	2004	100
864	109	2005	50
865	109	2006	40
866	109	2007	50
867	109	2008	70
868	109	2010	50
869	109	2011	70
870	109	2013	90
871	109	2014	130
872	109	2015	150
873	109	2016	160
874	109	2017	200
875	109	2018	200
876	110	2002	350
877	110	2003	340
