id	tiekunta_id	vuosi	maara
1	6	2010	36
2	6	2012	24
3	6	2013	48
4	6	2015	28
5	6	2016	56
6	6	2017	112
7	11	2009	160
8	11	2010	160
9	11	2011	150
10	11	2012	100
11	11	2013	140
12	11	2014	80
13	11	2016	50
14	17	2009	100
15	17	2010	100
16	17	2012	50
17	17	2015	50
18	17	2016	50
19	18	2008	25
20	36	2013	29
21	51	2013	150
22	53	2008	400
23	53	2016	500
24	53	2017	350
25	56	2008	100
26	56	2009	550
27	56	2010	100
28	56	2011	200
29	56	2012	50
30	61	2016	30
31	61	2017	30
32	62	2008	325
33	80	2013	954
34	80	2016	220
35	86	2008	34
36	89	2008	421
37	89	2009	1400
38	89	2010	500
39	89	2013	500
40	89	2015	500
41	89	2017	500
42	110	2010	100
43	110	2016	83
44	111	2008	139
45	120	2013	43
46	137	2013	100
47	156	2008	100
48	156	2009	250
49	156	2011	170
50	156	2012	165
51	156	2013	780
52	170	2009	146
53	172	2008	1343
54	172	2009	461
55	172	2010	616
56	172	2011	303
57	172	2012	510
58	172	2014	1164
59	172	2015	1001
60	172	2016	124
61	172	2017	264
62	184	2009	47
63	184	2010	46
64	184	2012	46
65	184	2013	46
66	184	2015	93
67	184	2016	47
68	184	2017	47
69	204	2010	300
70	204	2012	626
71	204	2013	309
72	204	2014	525
73	204	2015	3639
74	204	2016	51
75	204	2017	1411
76	207	2011	400
77	216	2009	401
78	216	2010	40
79	216	2012	63
80	216	2015	732
81	221	2013	100
82	221	2014	100
83	235	2008	550
84	235	2010	226
85	235	2011	579
86	236	2012	17
87	242	2016	400
88	242	2017	240
204	111	2019	100
205	89	2019	900
206	53	2019	150
207	184	2019	47
208	236	2019	100
209	172	2020	544
210	184	2020	47
211	53	2020	250
212	12	2020	20
213	202	2020	1000
214	202	2020	1000
215	189	2022	3852
216	172	2022	144
217	140	2022	120
218	184	2022	47
219	216	2022	458
220	221	2022	100
221	53	2022	484
222	5	2022	25
223	204	2022	1053
