id	tiekunta_id	vuosi	maara
2832	103	2012	81349
2914	110	2012	78684
2601	73	2011	61475
3023	120	2011	54018
2540	63	2011	48217
2915	110	2013	38081
2468	56	2012	32658
5660	108	2020	31190
2466	56	2010	30852
3994	238	2015	27799
5623	200	2020	27644
5526	56	2019	27324
2469	56	2013	26953
5665	204	2020	26715
5675	204	2020	26715
5590	56	2020	25831
3995	238	2016	25363
3696	204	2015	24714
3699	204	2018	24374
3698	204	2017	24344
2473	56	2017	23616
2474	56	2018	23456
2467	56	2011	23267
3697	204	2016	22791
3026	120	2014	22243
2471	56	2015	21610
3479	179	2016	21448
5517	200	2019	21099
2453	53	2014	20662
3694	204	2013	20434
2470	56	2014	19927
3027	120	2015	18796
3693	204	2012	18752
5530	204	2019	17992
3695	204	2014	17598
5531	110	2019	17512
3906	232	2010	17101
2622	77	2010	16336
3682	202	2018	16051
2951	112	2015	15852
5588	110	2020	15453
2935	111	2016	15444
3029	120	2017	15289
3920	233	2008	14661
3927	233	2015	14583
2460	56	2004	14352
2936	111	2017	13967
3692	204	2011	13955
2458	56	2002	13944
5476	111	2019	13837
3909	232	2013	13722
3924	233	2012	13640
2465	56	2009	13587
2931	111	2012	13568
3690	204	2009	13099
3691	204	2010	12997
2464	56	2008	12936
5491	108	2019	12727
5583	111	2020	12311
2910	110	2008	12150
3024	120	2012	11902
2937	111	2018	11732
2462	56	2006	11651
2918	110	2016	11434
3919	233	2007	11374
2934	111	2015	11251
2225	19	2018	11059
2930	111	2011	10990
5654	19	2020	10946
2221	19	2014	10939
3922	233	2010	10813
2459	56	2003	10794
3015	120	2003	10746
3914	232	2018	10645
2911	110	2009	10550
5622	232	2020	10490
3445	177	2016	10357
5482	19	2019	10347
2219	19	2012	10233
2463	56	2007	10144
3016	120	2004	9821
2222	19	2015	9672
2224	19	2017	9616
3028	120	2016	9550
3928	233	2016	9508
3926	233	2014	9467
2920	110	2018	9429
2349	44	2018	9344
2223	19	2016	9321
2932	111	2013	9274
3689	204	2008	9174
3431	172	2015	9083
3014	120	2002	9081
2454	53	2015	9074
3044	122	2015	9058
3021	120	2009	9040
5577	120	2020	9012
2461	56	2005	8996
2929	111	2010	8995
2614	77	2002	8984
2952	112	2016	8895
2837	103	2017	8847
2933	111	2014	8828
2215	19	2008	8825
3433	172	2017	8795
2925	111	2006	8761
5495	242	2019	8740
2445	53	2006	8721
3921	233	2009	8707
5533	232	2019	8706
2909	110	2007	8688
2928	111	2009	8664
3429	172	2013	8647
3019	120	2007	8563
2218	19	2011	8498
5587	172	2020	8445
2917	110	2015	8421
5661	169	2020	8418
3020	120	2008	8361
2212	19	2005	8350
2668	83	2012	8347
3164	140	2017	8346
2623	77	2011	8335
3018	120	2006	8296
2919	110	2017	8256
2927	111	2008	8197
5480	122	2019	8180
3432	172	2016	8173
2617	77	2005	7987
3025	120	2013	7985
2213	19	2006	7980
3434	172	2018	7869
4028	242	2018	7859
2924	111	2005	7858
2749	91	2015	7851
2216	19	2009	7824
3609	192	2012	7769
3688	204	2007	7752
2217	19	2010	7741
3391	169	2017	7691
2220	19	2013	7617
5576	233	2020	7611
3017	120	2005	7581
5659	242	2020	7540
5586	192	2020	7531
5481	233	2019	7529
2620	77	2008	7501
3578	189	2018	7438
5574	44	2019	7410
5582	122	2020	7405
3612	192	2015	7381
4025	242	2015	7313
3686	204	2005	7295
3739	209	2012	7281
3614	192	2017	7245
3430	172	2014	7240
3925	233	2013	7207
3913	232	2017	7173
3915	233	2003	7123
3022	120	2010	7108
3599	191	2018	7105
2567	66	2012	7100
2906	110	2004	6973
3603	192	2005	6973
3389	169	2015	6971
3030	121	2014	6943
3043	122	2014	6943
2672	83	2016	6924
2211	19	2004	6890
5610	25	2020	6877
2922	111	2003	6850
2214	19	2007	6819
3917	233	2005	6778
2566	66	2011	6759
3037	122	2008	6756
2913	110	2011	6729
5664	202	2020	6615
5676	202	2020	6615
2635	78	2012	6590
3908	232	2012	6571
5552	191	2019	6551
3745	209	2018	6547
4017	242	2007	6517
3962	235	2016	6506
3039	122	2010	6498
2916	110	2014	6487
3923	233	2011	6432
3911	232	2015	6377
2923	111	2004	6324
2210	19	2003	6292
3109	134	2012	6278
3685	204	2004	6241
2907	110	2005	6240
3930	233	2018	6240
2926	111	2007	6227
5597	66	2020	6214
5643	44	2020	6197
4026	242	2016	6184
2912	110	2010	6170
5550	140	2019	6135
5599	103	2020	6105
3916	233	2004	6091
3899	232	2003	6088
3907	232	2011	6081
3093	133	2013	6066
3073	128	2010	6044
5508	192	2019	5957
3898	232	2002	5928
2655	80	2016	5922
3382	169	2008	5915
3687	204	2006	5896
2569	66	2014	5816
5509	235	2019	5810
3428	172	2012	5800
2664	83	2008	5799
3426	172	2010	5798
3041	122	2012	5757
3427	172	2011	5737
4020	242	2010	5736
3425	172	2009	5731
2641	78	2018	5697
4022	242	2012	5692
2855	104	2018	5672
3611	192	2014	5672
2456	53	2017	5659
3034	122	2005	5621
2639	78	2016	5610
3615	192	2018	5597
2905	110	2003	5594
3744	209	2017	5569
3963	235	2017	5547
2625	77	2013	5527
3738	209	2011	5480
5514	66	2019	5471
3386	169	2012	5467
4027	242	2017	5464
3424	172	2008	5451
3384	169	2010	5449
5559	134	2019	5449
3045	122	2016	5439
2452	53	2013	5414
2348	44	2017	5380
3036	122	2007	5374
3743	209	2016	5312
2669	83	2013	5307
3742	209	2015	5294
2849	104	2012	5267
2848	104	2011	5255
3606	192	2008	5245
2400	50	2011	5220
2209	19	2002	5218
3740	209	2013	5218
2889	108	2018	5214
2846	104	2009	5211
3912	232	2016	5170
2667	83	2011	5155
3064	127	2018	5137
3929	233	2017	5124
2051	5	2017	5115
5488	221	2019	5102
2237	23	2013	5082
3512	183	2015	5055
5627	78	2020	5038
5493	183	2019	5018
3605	192	2007	5000
5474	25	2019	4984
3604	192	2006	4971
3588	191	2007	4970
5638	53	2020	4962
2638	78	2015	4956
2190	17	2016	4935
5644	5	2020	4913
3388	169	2014	4894
2322	39	2018	4882
2921	111	2002	4880
2607	73	2018	4870
5494	169	2019	4870
3735	209	2008	4869
2751	91	2017	4855
5546	78	2019	4841
4023	242	2013	4833
5670	189	2020	4833
3040	122	2011	4817
5625	191	2020	4816
2346	44	2015	4796
5500	209	2019	4765
2422	51	2016	4719
5604	156	2020	4719
3309	156	2013	4704
3236	149	2016	4690
3980	236	2018	4685
5589	209	2020	4672
2571	66	2016	4662
3978	236	2016	4654
5496	69	2019	4623
2666	83	2010	4617
2648	80	2009	4614
3423	172	2007	4606
2419	51	2013	4588
3945	234	2016	4587
3684	204	2003	4559
3607	192	2009	4557
2343	44	2012	4555
2401	50	2012	4548
2643	80	2003	4534
3590	191	2009	4528
3058	127	2012	4521
2651	80	2012	4511
3061	127	2015	4481
3737	209	2010	4471
3598	191	2017	4470
3042	122	2013	4468
3594	191	2013	4460
5568	115	2019	4448
