id	tiekunta_id	vuosi	maara
1	5	2002	840
2	5	2004	630
3	5	2017	750
4	5	2018	400
5	5	2019	550
6	7	2002	350
7	11	2006	1000
8	11	2009	400
9	13	2005	500
10	17	2002	840
11	18	2002	840
12	18	2009	350
13	18	2013	400
14	18	2016	300
15	18	2019	150
16	19	2005	300
17	34	2013	600
18	44	2002	670
19	44	2017	500
20	44	2018	400
21	44	2019	680
22	46	2002	600
23	47	2004	500
24	47	2006	400
25	48	2008	450
26	48	2010	500
27	50	2006	400
28	50	2008	500
29	50	2016	500
30	52	2014	500
31	53	2014	1000
32	56	2010	750
33	59	2016	400
34	63	2011	1400
35	64	2006	2500
36	66	2008	400
37	73	2002	1180
38	73	2005	400
39	73	2011	1400
40	77	2004	2100
41	77	2009	1500
42	80	2004	1000
43	86	2008	900
44	86	2013	600
45	103	2004	5000
46	103	2012	1700
47	104	2005	4700
48	104	2006	1000
49	104	2010	1300
50	104	2018	4000
51	110	2005	500
52	110	2012	900
53	111	2015	600
54	112	2015	1500
55	115	2019	1850
56	118	2004	300
57	120	2002	2020
58	120	2011	510
59	120	2015	600
60	122	2005	400
61	128	2004	300
62	133	2004	300
63	138	2008	750
64	149	2005	2000
65	152	2006	1500
66	152	2008	300
67	156	2006	300
68	157	2010	750
69	169	2015	4000
70	171	2002	840
71	171	2008	350
72	171	2012	500
73	172	2013	600
74	172	2015	600
75	172	2017	500
76	172	2019	2900
77	177	2016	1000
78	179	2016	700
79	182	2005	630
80	190	2002	840
81	191	2004	700
82	191	2005	600
83	192	2012	500
84	200	2006	200
85	200	2008	900
86	200	2013	400
87	200	2019	1550
88	202	2018	3000
89	225	2005	700
90	230	2016	400
91	232	2017	750
92	232	2018	400
93	233	2002	1350
94	234	2009	1000
95	238	2004	500
96	238	2005	400
97	238	2012	500
98	238	2015	3000
99	238	2018	400
218	232	2020	1500
219	53	2020	1150
220	19	2020	9833
221	172	2022	1435
222	186	2022	1520
223	131	2022	750
224	90	2022	335
225	228	2022	2000
