id	tiekunta_id	vuosi	maara
1	3	2002	100
2	3	2004	30
3	3	2006	55
4	3	2007	100
5	5	2002	3221
6	5	2003	1731
7	5	2004	1849
8	5	2005	2039
9	5	2006	2039
10	5	2007	2039
11	5	2008	2039
12	5	2009	2269
13	5	2010	2269
14	5	2011	2269
15	5	2012	2269
16	5	2013	2961
17	5	2014	3319
18	5	2015	3319
19	5	2016	3319
20	5	2017	3319
21	5	2018	3395
22	6	2002	810
23	6	2003	648
24	6	2004	572
25	6	2005	704
26	6	2006	184
27	6	2007	309
28	6	2008	494
29	6	2009	494
30	6	2010	494
31	6	2011	1487
32	6	2012	725
33	6	2013	926
34	6	2014	87
35	6	2015	604
36	6	2016	913
37	6	2017	1826
38	6	2018	913
39	7	2002	253
40	7	2003	290
41	7	2004	261
42	7	2005	261
43	7	2006	1000
44	7	2007	1078
45	7	2008	1000
46	7	2009	1000
47	7	2010	1300
48	7	2011	429
49	7	2012	1611
50	7	2013	1600
51	7	2014	1100
52	7	2015	1000
53	7	2016	1000
54	7	2017	800
55	7	2018	719
56	8	2002	347
57	8	2003	996
58	8	2004	281
59	8	2005	132
60	8	2006	96
61	8	2007	422
62	8	2008	324
63	8	2009	280
64	8	2010	705
65	8	2012	305
66	8	2013	369
67	8	2014	277
68	8	2016	180
69	8	2017	255
70	8	2018	131
71	9	2002	66
72	9	2003	483
73	9	2005	512
74	9	2007	507
75	9	2009	530
76	9	2010	512
77	9	2012	527
78	9	2013	527
79	9	2014	527
80	9	2015	527
81	9	2016	527
82	9	2017	527
83	9	2018	527
84	11	2002	469
85	11	2003	355
86	11	2004	641
87	11	2005	27
88	11	2006	691
89	11	2007	718
90	11	2008	789
91	11	2009	5443
92	11	2010	490
93	11	2011	1198
94	11	2012	2993
95	11	2013	3455
96	11	2014	1178
97	11	2015	1294
98	11	2016	1212
99	11	2017	1182
100	11	2018	1128
101	12	2004	1486
102	12	2005	865
103	12	2006	298
104	12	2007	1496
105	12	2008	1207
106	12	2009	730
107	12	2010	722
108	12	2011	980
109	12	2012	173
110	12	2013	2660
111	12	2014	1703
112	12	2015	1655
113	12	2016	1386
114	12	2017	1296
115	12	2018	1022
116	13	2002	573
117	13	2003	572
118	13	2004	571
119	13	2005	572
120	13	2006	702
121	13	2007	705
122	13	2008	703
123	15	2012	578
124	16	2002	489
125	16	2003	368
126	16	2004	378
127	16	2005	424
128	16	2006	405
129	16	2007	516
130	16	2008	520
131	16	2009	520
132	16	2010	520
133	16	2011	578
134	16	2013	598
135	16	2014	578
136	16	2015	578
137	16	2016	598
138	16	2017	720
139	17	2002	1001
140	17	2003	1001
141	17	2004	1144
142	17	2005	111
143	17	2006	1632
144	17	2007	1685
145	17	2008	1659
146	17	2009	1435
147	17	2010	1660
148	17	2011	1919
149	17	2012	2015
150	17	2013	2339
151	17	2014	300
152	17	2015	4560
153	17	2016	2306
154	17	2018	1381
155	18	2002	283
156	18	2003	351
157	18	2004	317
158	18	2005	308
159	18	2006	317
160	18	2007	297
161	18	2008	297
162	18	2009	297
163	18	2010	406
164	18	2011	396
165	18	2012	396
166	18	2013	396
167	18	2014	577
168	18	2015	594
169	18	2016	644
170	18	2017	644
171	18	2018	644
172	19	2002	4213
173	19	2003	4232
174	19	2004	4290
175	19	2005	6038
176	19	2006	7625
177	19	2007	6085
178	19	2008	6466
179	19	2009	6810
180	19	2010	6633
181	19	2011	7834
182	19	2012	7324
183	19	2013	7565
184	19	2014	7581
185	19	2015	8301
186	19	2016	8338
187	19	2017	8769
188	19	2018	8680
189	23	2002	1353
190	23	2003	1380
191	23	2004	1148
192	23	2005	1717
193	23	2006	1375
194	23	2007	1150
195	23	2008	1383
196	23	2009	1237
197	23	2010	1703
198	23	2011	2033
199	23	2012	2087
200	23	2013	3608
201	23	2014	1923
202	23	2015	1961
203	23	2016	2177
204	25	2002	1315
205	25	2003	1586
206	25	2004	1530
207	25	2005	1530
208	25	2006	1564
209	25	2007	1565
210	25	2008	1565
211	25	2009	1565
212	25	2010	1589
213	25	2011	1956
214	25	2012	2543
215	25	2013	2934
216	25	2014	2934
217	25	2015	2955
218	25	2016	3331
219	25	2017	3769
220	25	2018	3492
221	34	2004	2053
222	34	2012	3107
223	34	2013	392
224	34	2014	195
225	34	2018	1733
226	35	2002	1560
227	35	2003	1604
228	35	2004	1604
229	35	2005	1604
230	35	2006	1604
231	35	2007	1604
232	35	2008	1604
233	35	2009	1604
234	35	2010	1604
235	35	2012	2112
236	35	2013	2173
237	35	2014	2173
238	35	2015	2173
239	36	2002	1108
240	36	2003	1107
241	36	2004	1292
242	36	2005	1582
243	36	2006	1682
244	36	2007	1481
245	36	2008	1842
246	36	2009	1842
247	36	2010	1597
248	36	2011	1524
249	36	2012	1748
250	36	2013	1748
251	36	2014	2091
252	36	2015	2249
253	36	2016	2163
254	36	2017	2175
255	36	2018	2240
256	39	2002	541
257	39	2003	539
258	39	2004	809
259	39	2005	809
260	39	2006	816
261	39	2007	793
262	39	2008	931
263	39	2009	1204
264	39	2010	1297
265	39	2011	1784
266	39	2012	2087
267	39	2013	3144
268	39	2014	3154
269	39	2015	3194
270	39	2016	3094
271	39	2017	3153
272	39	2018	3002
273	44	2002	1360
274	44	2003	1905
275	44	2004	1819
276	44	2005	2200
277	44	2006	2200
278	44	2007	2200
279	44	2008	2184
280	44	2009	3112
281	44	2010	3206
282	44	2011	3775
283	44	2012	3788
284	44	2013	3937
285	44	2014	4031
286	44	2015	4672
287	44	2016	4332
288	44	2017	4162
289	44	2018	4092
290	46	2006	2527
291	46	2009	4000
292	47	2002	770
293	47	2003	769
294	47	2004	836
295	47	2005	1066
296	47	2006	817
297	47	2007	1138
298	47	2008	999
299	47	2009	1272
300	47	2010	1363
301	47	2011	1397
302	47	2012	1397
303	47	2013	1503
304	47	2014	1584
305	47	2015	1584
306	47	2016	3627
307	47	2017	1813
308	47	2018	1813
309	48	2003	406
310	48	2004	673
311	48	2005	1415
312	48	2006	1376
313	48	2007	1379
314	48	2008	1261
315	48	2009	1976
316	48	2010	1929
317	48	2011	272
318	48	2013	1983
319	48	2018	1918
320	50	2002	310
321	50	2003	313
322	50	2004	607
323	50	2005	607
324	50	2006	607
325	50	2007	607
326	50	2008	911
327	50	2009	910
328	50	2010	910
329	50	2011	750
330	50	2012	1020
331	50	2013	2314
332	50	2014	910
333	50	2015	910
334	50	2016	940
335	50	2017	940
336	50	2018	940
337	51	2002	896
338	51	2003	2825
339	51	2005	2511
340	51	2006	1061
341	51	2007	11
342	51	2008	3577
343	51	2010	3603
344	51	2011	42
345	51	2012	5718
346	51	2013	102
347	51	2014	3509
348	51	2016	7000
349	51	2018	6855
350	52	2002	122
351	52	2003	122
352	52	2004	122
353	52	2005	116
354	52	2006	129
355	52	2007	119
356	52	2008	130
357	52	2009	120
358	52	2010	130
359	52	2011	120
360	52	2012	259
361	52	2013	259
362	52	2014	260
363	52	2015	260
364	52	2016	260
365	52	2017	280
366	52	2018	280
367	53	2002	1554
368	53	2003	1554
369	53	2004	1177
370	53	2005	1272
371	53	2006	2394
372	53	2007	983
373	53	2008	1889
374	53	2009	1298
375	53	2010	2581
376	53	2011	2581
377	53	2012	2596
378	53	2013	2523
379	53	2014	2310
380	53	2015	2726
381	53	2016	2964
382	53	2017	2764
383	53	2018	2770
384	56	2002	6100
385	56	2003	7012
386	56	2004	7087
387	56	2005	7184
388	56	2006	12684
389	56	2007	12892
390	56	2008	14539
